# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-4.372802352905273438e+01,-3.195738983154296875e+01,-3.707769393920898438e+01,-3.977618026733398438e+01,1.804871177673339844e+01
4.499999999999999877e-04,-4.277545547485351562e+01,-3.007143783569335938e+01,-3.577341842651367188e+01,-3.815377426147460938e+01,1.845150375366210938e+01
7.500000000000000156e-04,-4.304833602905273438e+01,-3.038878822326660156e+01,-3.596596908569335938e+01,-3.786612319946289062e+01,1.813766479492187500e+01
1.200000000000000112e-03,-4.282013320922851562e+01,-3.029053497314453125e+01,-3.595843887329101562e+01,-3.789436721801757812e+01,1.811665725708007812e+01
1.500000000000000031e-03,-4.256036758422851562e+01,-3.038406181335449219e+01,-3.594972610473632812e+01,-3.737292861938476562e+01,1.821488952636718750e+01
