# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
2.999999999999999737e-05,-6.933619689941406250e+01,-5.462335205078125000e+01,-6.092223739624023438e+01,-6.099757385253906250e+01,1.598023986816406250e+01
8.999999999999999212e-05,-6.505106353759765625e+01,-5.051875305175781250e+01,-5.831208419799804688e+01,-5.978630065917968750e+01,1.735630798339843750e+01
1.499999999999999869e-04,-6.781021881103515625e+01,-5.214923477172851562e+01,-6.001514434814453125e+01,-6.130879974365234375e+01,1.720170402526855469e+01
2.399999999999999790e-04,-6.822895812988281250e+01,-5.239863967895507812e+01,-6.043585968017578125e+01,-6.094254302978515625e+01,1.721033096313476562e+01
2.999999999999999737e-04,-6.820991516113281250e+01,-5.229796600341796875e+01,-6.021841812133789062e+01,-6.088066482543945312e+01,1.715726470947265625e+01
2.999999999999999737e-04,-6.820178985595703125e+01,-5.231678009033203125e+01,-6.038201904296875000e+01,-6.084819412231445312e+01,1.705279922485351562e+01
2.999999999999999737e-04,-6.829387664794921875e+01,-5.231749725341796875e+01,-6.041043090820312500e+01,-6.085082244873046875e+01,1.705943679809570312e+01
2.999999999999999737e-04,-6.839181518554687500e+01,-5.232411193847656250e+01,-6.045692443847656250e+01,-6.089623641967773438e+01,1.707677650451660156e+01
