# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.000000000000000048e-04,-7.641428375244140625e+01,-7.299539947509765625e+01,-7.626541137695312500e+01,-7.159651184082031250e+01,1.796457099914550781e+01
2.999999999999999737e-04,-7.734763336181640625e+01,-7.132883453369140625e+01,-7.573084259033203125e+01,-7.101954650878906250e+01,1.794490623474121094e+01
5.000000000000000104e-04,-7.818785858154296875e+01,-7.156948852539062500e+01,-7.576425933837890625e+01,-7.140474700927734375e+01,1.785303497314453125e+01
8.000000000000000383e-04,-7.855858612060546875e+01,-7.213905334472656250e+01,-7.629937744140625000e+01,-7.131142425537109375e+01,1.773815536499023438e+01
1.000000000000000021e-03,-7.867918395996093750e+01,-7.292222595214843750e+01,-7.628872680664062500e+01,-7.194320678710937500e+01,1.781645202636718750e+01
1.000000000000000021e-03,-7.888798522949218750e+01,-7.331970214843750000e+01,-7.638858795166015625e+01,-7.177532196044921875e+01,1.786877632141113281e+01
1.000000000000000021e-03,-7.915035247802734375e+01,-7.331934356689453125e+01,-7.646924591064453125e+01,-7.197178649902343750e+01,1.777396965026855469e+01
1.000000000000000021e-03,-7.945344543457031250e+01,-7.339237213134765625e+01,-7.650762939453125000e+01,-7.206464385986328125e+01,1.773056221008300781e+01
1.000000000000000021e-03,-7.934871673583984375e+01,-7.344013977050781250e+01,-7.647906494140625000e+01,-7.211147308349609375e+01,1.772775650024414062e+01
1.000000000000000021e-03,-7.941882324218750000e+01,-7.340454101562500000e+01,-7.652266693115234375e+01,-7.211030578613281250e+01,1.778996467590332031e+01
