# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-8.714693450927734375e+01,-8.111128997802734375e+01,-8.398781585693359375e+01,-8.631692504882812500e+01,1.919710731506347656e+01
4.499999999999999877e-04,-8.597457885742187500e+01,-7.944504547119140625e+01,-8.237836456298828125e+01,-8.234527587890625000e+01,1.920074653625488281e+01
7.500000000000000156e-04,-8.358943939208984375e+01,-8.003262329101562500e+01,-8.133408355712890625e+01,-8.096141052246093750e+01,1.869753456115722656e+01
1.200000000000000112e-03,-8.455162811279296875e+01,-7.962506866455078125e+01,-8.145347595214843750e+01,-8.228821563720703125e+01,1.929945945739746094e+01
1.500000000000000031e-03,-8.470159912109375000e+01,-7.892250061035156250e+01,-8.170619964599609375e+01,-7.857855224609375000e+01,1.801349258422851562e+01
1.049999999999999935e-03,-8.107139587402343750e+01,-7.636087799072265625e+01,-7.667465209960937500e+01,-7.542947387695312500e+01,1.812477874755859375e+01
1.049999999999999935e-03,-8.234785461425781250e+01,-7.642643737792968750e+01,-7.581629943847656250e+01,-7.578509521484375000e+01,1.897121047973632812e+01
1.049999999999999935e-03,-8.242425537109375000e+01,-7.696238708496093750e+01,-7.724540710449218750e+01,-7.838522338867187500e+01,1.829816818237304688e+01
1.049999999999999935e-03,-8.002890777587890625e+01,-7.828188323974609375e+01,-7.682060241699218750e+01,-7.904499053955078125e+01,1.822290229797363281e+01
1.049999999999999935e-03,-8.228887939453125000e+01,-7.871174621582031250e+01,-7.663153839111328125e+01,-7.946533966064453125e+01,1.829993438720703125e+01
