# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.299999999999999886e-04,-7.641428375244140625e+01,-7.299539947509765625e+01,-7.626541137695312500e+01,-7.159651184082031250e+01,1.790526962280273438e+01
2.599999999999999772e-04,-7.754415130615234375e+01,-7.131199645996093750e+01,-7.586708831787109375e+01,-7.093421936035156250e+01,1.797562217712402344e+01
3.899999999999999929e-04,-7.839108276367187500e+01,-7.159013366699218750e+01,-7.595300292968750000e+01,-7.145645141601562500e+01,1.781134414672851562e+01
5.199999999999999544e-04,-7.857022857666015625e+01,-7.200715637207031250e+01,-7.633480834960937500e+01,-7.142642974853515625e+01,1.782187271118164062e+01
7.799999999999999859e-04,-7.866478729248046875e+01,-7.270497131347656250e+01,-7.634485626220703125e+01,-7.161927032470703125e+01,1.777327919006347656e+01
1.039999999999999909e-03,-7.880846405029296875e+01,-7.313955688476562500e+01,-7.638782501220703125e+01,-7.165854644775390625e+01,1.781744766235351562e+01
