# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-8.714693450927734375e+01,-8.111128997802734375e+01,-8.398781585693359375e+01,-8.631692504882812500e+01,1.830854415893554688e+01
4.499999999999999877e-04,-8.597457885742187500e+01,-7.944504547119140625e+01,-8.237836456298828125e+01,-8.234527587890625000e+01,1.804667472839355469e+01
7.500000000000000156e-04,-8.358943939208984375e+01,-8.003262329101562500e+01,-8.133408355712890625e+01,-8.096141052246093750e+01,1.781688117980957031e+01
1.200000000000000112e-03,-8.455162811279296875e+01,-7.962506866455078125e+01,-8.145347595214843750e+01,-8.228821563720703125e+01,1.811239242553710938e+01
1.500000000000000031e-03,-8.470159912109375000e+01,-7.892250061035156250e+01,-8.170619964599609375e+01,-7.857855224609375000e+01,1.725873947143554688e+01
