# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.224112319946289062e+01,-4.449663925170898438e+01,-4.782106781005859375e+01,-4.893165969848632812e+01,1.730811882019042969e+01
4.499999999999999877e-04,-5.228723526000976562e+01,-4.190536880493164062e+01,-4.839827346801757812e+01,-4.749417877197265625e+01,1.798610877990722656e+01
7.500000000000000156e-04,-5.227091598510742188e+01,-4.189932632446289062e+01,-4.876103973388671875e+01,-4.746917724609375000e+01,1.757168388366699219e+01
1.200000000000000112e-03,-5.267884063720703125e+01,-4.137219238281250000e+01,-4.795682525634765625e+01,-4.704730224609375000e+01,1.749949645996093750e+01
1.500000000000000031e-03,-5.182623291015625000e+01,-4.201810073852539062e+01,-4.725464630126953125e+01,-4.237304306030273438e+01,1.731056594848632812e+01
