# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
2.500000000000000052e-04,-7.641428375244140625e+01,-7.299539947509765625e+01,-7.626541137695312500e+01,-7.159651184082031250e+01,1.776439857482910156e+01
5.000000000000000104e-04,-7.804050445556640625e+01,-7.076631927490234375e+01,-7.558367156982421875e+01,-6.979026794433593750e+01,1.783480072021484375e+01
7.500000000000000156e-04,-7.857283020019531250e+01,-7.157512664794921875e+01,-7.573645782470703125e+01,-7.093725585937500000e+01,1.780191230773925781e+01
1.000000000000000021e-03,-7.842623138427734375e+01,-7.191922760009765625e+01,-7.597769927978515625e+01,-7.088788604736328125e+01,1.773995208740234375e+01
1.500000000000000031e-03,-7.865758514404296875e+01,-7.280592346191406250e+01,-7.578000640869140625e+01,-7.124590301513671875e+01,1.785775375366210938e+01
2.000000000000000042e-03,-7.881745910644531250e+01,-7.316116333007812500e+01,-7.623237609863281250e+01,-7.122360992431640625e+01,1.780561256408691406e+01
