# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.565784072875976562e+01,-3.965653991699218750e+01,-4.582132720947265625e+01,-4.939387130737304688e+01,1.748540115356445312e+01
4.499999999999999877e-04,-5.582148361206054688e+01,-3.855423736572265625e+01,-4.466527938842773438e+01,-4.726063156127929688e+01,1.779099845886230469e+01
7.500000000000000156e-04,-5.619631576538085938e+01,-3.886538696289062500e+01,-4.488034057617187500e+01,-4.615783309936523438e+01,1.788532257080078125e+01
1.200000000000000112e-03,-5.586256790161132812e+01,-3.902719497680664062e+01,-4.506178283691406250e+01,-4.503663253784179688e+01,1.765179061889648438e+01
1.500000000000000031e-03,-5.518806457519531250e+01,-3.531896591186523438e+01,-4.444105911254882812e+01,-4.539825820922851562e+01,1.739893341064453125e+01
1.500000000000000031e-03,-5.059051895141601562e+01,-3.734964752197265625e+01,-4.176503372192382812e+01,-4.511715698242187500e+01,1.703375625610351562e+01
