# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.454855728149414062e+01,-5.704598236083984375e+01,-5.922821807861328125e+01,-4.052172088623046875e+01,1.725488281250000000e+01
4.499999999999999877e-04,-5.464987945556640625e+01,-5.401477813720703125e+01,-5.773297882080078125e+01,-4.336773681640625000e+01,1.782624816894531250e+01
7.500000000000000156e-04,-5.735987854003906250e+01,-5.508279800415039062e+01,-6.010674285888671875e+01,-5.194528961181640625e+01,1.765433692932128906e+01
1.200000000000000112e-03,-5.856348800659179688e+01,-5.516834640502929688e+01,-6.041485977172851562e+01,-5.255926513671875000e+01,1.729464530944824219e+01
1.500000000000000031e-03,-5.680952072143554688e+01,-5.381494140625000000e+01,-5.679827880859375000e+01,-5.133062362670898438e+01,1.710688209533691406e+01
