# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.630816268920898438e+01,-4.240765762329101562e+01,-4.364138412475585938e+01,-5.182246017456054688e+01,1.742073440551757812e+01
4.499999999999999877e-04,-5.606232452392578125e+01,-3.944802093505859375e+01,-4.360730743408203125e+01,-5.122172164916992188e+01,1.735248756408691406e+01
7.500000000000000156e-04,-5.674108886718750000e+01,-3.925519943237304688e+01,-4.408999633789062500e+01,-5.158771514892578125e+01,1.741586494445800781e+01
1.200000000000000112e-03,-5.676178741455078125e+01,-3.940309143066406250e+01,-4.422257995605468750e+01,-5.168138122558593750e+01,1.728371047973632812e+01
1.500000000000000031e-03,-5.656283187866210938e+01,-3.921085357666015625e+01,-4.399434280395507812e+01,-4.877904510498046875e+01,1.729408454895019531e+01
1.500000000000000031e-03,-5.602329254150390625e+01,-3.950759506225585938e+01,-4.386345291137695312e+01,-4.036426162719726562e+01,1.733661270141601562e+01
1.500000000000000031e-03,-5.548974227905273438e+01,-3.918378829956054688e+01,-4.302719497680664062e+01,-4.139836502075195312e+01,1.719497489929199219e+01
1.500000000000000031e-03,-5.559531784057617188e+01,-3.925021362304687500e+01,-4.377389526367187500e+01,-4.360229873657226562e+01,1.703108024597167969e+01
1.500000000000000031e-03,-5.631843948364257812e+01,-3.923377227783203125e+01,-4.372913742065429688e+01,-4.347019577026367188e+01,1.717454338073730469e+01
1.500000000000000031e-03,-5.664804077148437500e+01,-3.916541290283203125e+01,-4.367881393432617188e+01,-4.426334762573242188e+01,1.699604988098144531e+01
