# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.000000000000000048e-04,-7.641428375244140625e+01,-7.299539947509765625e+01,-7.626541137695312500e+01,-7.159651184082031250e+01,1.796457099914550781e+01
2.000000000000000096e-04,-7.734763336181640625e+01,-7.132883453369140625e+01,-7.573084259033203125e+01,-7.101954650878906250e+01,1.803597831726074219e+01
2.999999999999999737e-04,-7.826226043701171875e+01,-7.153812408447265625e+01,-7.597232818603515625e+01,-7.152125549316406250e+01,1.781690025329589844e+01
4.000000000000000192e-04,-7.842210388183593750e+01,-7.192667388916015625e+01,-7.619429016113281250e+01,-7.162007141113281250e+01,1.777212333679199219e+01
5.999999999999999474e-04,-7.866792297363281250e+01,-7.251495361328125000e+01,-7.635047149658203125e+01,-7.178375244140625000e+01,1.779607009887695312e+01
8.000000000000000383e-04,-7.883264160156250000e+01,-7.308438110351562500e+01,-7.638716888427734375e+01,-7.176790618896484375e+01,1.784866905212402344e+01
1.000000000000000021e-03,-7.913542175292968750e+01,-7.310397338867187500e+01,-7.651737976074218750e+01,-7.213541412353515625e+01,1.776824378967285156e+01
1.000000000000000021e-03,-7.929711151123046875e+01,-7.336446380615234375e+01,-7.649542999267578125e+01,-7.204438781738281250e+01,1.778859519958496094e+01
1.000000000000000021e-03,-7.936463165283203125e+01,-7.340135192871093750e+01,-7.649923706054687500e+01,-7.214316558837890625e+01,1.774403572082519531e+01
1.000000000000000021e-03,-7.942594909667968750e+01,-7.344697570800781250e+01,-7.652274322509765625e+01,-7.210260009765625000e+01,1.778437805175781250e+01
