# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
2.999999999999999737e-05,-7.641428375244140625e+01,-7.299539947509765625e+01,-7.626541137695312500e+01,-7.159651184082031250e+01,1.817158889770507812e+01
5.999999999999999474e-05,-7.643183135986328125e+01,-7.135740661621093750e+01,-7.503750610351562500e+01,-7.082746124267578125e+01,1.817019271850585938e+01
8.999999999999999212e-05,-7.740116119384765625e+01,-7.140790557861328125e+01,-7.581576538085937500e+01,-7.122975921630859375e+01,1.811982154846191406e+01
1.199999999999999895e-04,-7.810677337646484375e+01,-7.147177124023437500e+01,-7.618061065673828125e+01,-7.144506072998046875e+01,1.794577407836914062e+01
1.799999999999999842e-04,-7.830749511718750000e+01,-7.154495239257812500e+01,-7.610041046142578125e+01,-7.169458007812500000e+01,1.778475761413574219e+01
2.399999999999999790e-04,-7.833377075195312500e+01,-7.194313049316406250e+01,-7.608382415771484375e+01,-7.178988647460937500e+01,1.775110054016113281e+01
