# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.531504821777343750e+01,-5.445006561279296875e+01,-5.920341110229492188e+01,-4.941301345825195312e+01,1.783743286132812500e+01
4.499999999999999877e-04,-5.542990875244140625e+01,-5.189518356323242188e+01,-5.819902038574218750e+01,-4.733260726928710938e+01,1.801991081237792969e+01
7.500000000000000156e-04,-5.529242324829101562e+01,-5.200424194335937500e+01,-5.853332519531250000e+01,-4.681643676757812500e+01,1.803607559204101562e+01
1.200000000000000112e-03,-5.508801651000976562e+01,-5.224946594238281250e+01,-5.867156600952148438e+01,-4.647880554199218750e+01,1.802608299255371094e+01
1.500000000000000031e-03,-5.510270309448242188e+01,-5.234378051757812500e+01,-5.837157440185546875e+01,-4.634513092041015625e+01,1.771483612060546875e+01
