# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-4.485684967041015625e+01,-3.264945220947265625e+01,-3.769958496093750000e+01,-3.942673492431640625e+01,1.734404373168945312e+01
4.499999999999999877e-04,-4.323888015747070312e+01,-3.042538833618164062e+01,-3.565529251098632812e+01,-3.764002609252929688e+01,1.790339279174804688e+01
7.500000000000000156e-04,-4.289450454711914062e+01,-3.055553627014160156e+01,-3.547266387939453125e+01,-3.720582199096679688e+01,1.770796203613281250e+01
1.200000000000000112e-03,-4.283921432495117188e+01,-3.068305015563964844e+01,-3.571420288085937500e+01,-3.698174667358398438e+01,1.770642471313476562e+01
1.500000000000000031e-03,-4.286183166503906250e+01,-3.061102867126464844e+01,-3.541784286499023438e+01,-3.672517013549804688e+01,1.759301757812500000e+01
1.500000000000000031e-03,-4.256415176391601562e+01,-3.062960243225097656e+01,-3.559217834472656250e+01,-3.635659790039062500e+01,1.761488151550292969e+01
1.500000000000000031e-03,-4.290878295898437500e+01,-3.078372573852539062e+01,-3.551771545410156250e+01,-3.641697692871093750e+01,1.745783996582031250e+01
1.500000000000000031e-03,-4.252448272705078125e+01,-3.080472373962402344e+01,-3.554052734375000000e+01,-3.663039398193359375e+01,1.749815940856933594e+01
1.500000000000000031e-03,-4.282987976074218750e+01,-3.084648323059082031e+01,-3.551688003540039062e+01,-3.673427200317382812e+01,1.735762214660644531e+01
1.500000000000000031e-03,-4.256855773925781250e+01,-3.091964340209960938e+01,-3.549136734008789062e+01,-3.682456588745117188e+01,1.740157890319824219e+01
