# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.549570846557617188e+01,-3.934303665161132812e+01,-4.579954147338867188e+01,-4.920977020263671875e+01,1.722016716003417969e+01
4.499999999999999877e-04,-5.457325363159179688e+01,-3.678065490722656250e+01,-4.312908554077148438e+01,-4.657892990112304688e+01,1.767232322692871094e+01
7.500000000000000156e-04,-5.520012664794921875e+01,-3.730430984497070312e+01,-4.355286788940429688e+01,-4.602892684936523438e+01,1.766610908508300781e+01
1.200000000000000112e-03,-5.495046997070312500e+01,-3.725392913818359375e+01,-4.348513793945312500e+01,-4.532398223876953125e+01,1.765573310852050781e+01
1.500000000000000031e-03,-5.502444458007812500e+01,-3.743318557739257812e+01,-4.331581497192382812e+01,-4.582096099853515625e+01,1.762568283081054688e+01
1.500000000000000031e-03,-5.523343658447265625e+01,-3.698782730102539062e+01,-4.328254318237304688e+01,-4.578276062011718750e+01,1.735400962829589844e+01
