# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-4.781448745727539062e+01,-3.875427627563476562e+01,-4.036239242553710938e+01,-3.740834808349609375e+01,1.586089515686035156e+01
4.499999999999999877e-04,-3.882489776611328125e+01,-3.186923217773437500e+01,-3.421759414672851562e+01,-3.466389083862304688e+01,1.665161895751953125e+01
7.500000000000000156e-04,-4.878922271728515625e+01,-3.530718994140625000e+01,-3.933145523071289062e+01,-4.332468795776367188e+01,1.649145126342773438e+01
1.200000000000000112e-03,-4.871834564208984375e+01,-3.549081802368164062e+01,-4.031066513061523438e+01,-4.100701522827148438e+01,1.638755798339843750e+01
