# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-4.372805786132812500e+01,-4.322829437255859375e+01,-4.834563827514648438e+01,-4.004461288452148438e+01,1.804935646057128906e+01
4.499999999999999877e-04,-4.276821899414062500e+01,-4.134310913085937500e+01,-4.704244995117187500e+01,-3.842957305908203125e+01,1.845681953430175781e+01
7.500000000000000156e-04,-4.307037734985351562e+01,-4.171391677856445312e+01,-4.723629379272460938e+01,-3.814503097534179688e+01,1.814976882934570312e+01
1.200000000000000112e-03,-4.287917327880859375e+01,-4.164284515380859375e+01,-4.722306060791015625e+01,-3.817242813110351562e+01,1.813506317138671875e+01
1.500000000000000031e-03,-4.265055465698242188e+01,-4.177037429809570312e+01,-4.723028945922851562e+01,-3.766522979736328125e+01,1.821749496459960938e+01
