# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.471561813354492188e+01,-5.547031021118164062e+01,-5.948844528198242188e+01,-4.794646453857421875e+01,1.787391662597656250e+01
4.499999999999999877e-04,-5.605846405029296875e+01,-5.324677276611328125e+01,-5.863338470458984375e+01,-4.550736618041992188e+01,1.802787971496582031e+01
7.500000000000000156e-04,-5.613800430297851562e+01,-5.307013702392578125e+01,-5.816992187500000000e+01,-4.564006423950195312e+01,1.782810211181640625e+01
1.200000000000000112e-03,-5.582122802734375000e+01,-5.313050460815429688e+01,-5.831398010253906250e+01,-4.503452301025390625e+01,1.766933059692382812e+01
1.500000000000000031e-03,-5.605553054809570312e+01,-5.313185119628906250e+01,-5.808267593383789062e+01,-4.608917999267578125e+01,1.776588630676269531e+01
