# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.560213851928710938e+01,-3.958401489257812500e+01,-4.588236999511718750e+01,-4.938866424560546875e+01,1.743394660949707031e+01
4.499999999999999877e-04,-5.518687438964843750e+01,-3.791381072998046875e+01,-4.410325241088867188e+01,-4.700985336303710938e+01,1.778140449523925781e+01
7.500000000000000156e-04,-5.592570495605468750e+01,-3.843398666381835938e+01,-4.461345291137695312e+01,-4.651376724243164062e+01,1.775965690612792969e+01
1.200000000000000112e-03,-5.576358795166015625e+01,-3.839285278320312500e+01,-4.434075546264648438e+01,-4.577846145629882812e+01,1.769629669189453125e+01
1.500000000000000031e-03,-5.581060028076171875e+01,-3.840948867797851562e+01,-4.243803405761718750e+01,-4.647104644775390625e+01,1.766382026672363281e+01
1.500000000000000031e-03,-5.550697326660156250e+01,-3.821067047119140625e+01,-3.902122879028320312e+01,-4.616871643066406250e+01,1.749350547790527344e+01
