# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-5.410310363769531250e+01,-3.975638198852539062e+01,-4.311769104003906250e+01,-4.866387939453125000e+01,1.767197036743164062e+01
4.499999999999999877e-04,-5.434806060791015625e+01,-3.708825302124023438e+01,-4.255151367187500000e+01,-4.733509826660156250e+01,1.769305801391601562e+01
7.500000000000000156e-04,-5.433533859252929688e+01,-3.705045700073242188e+01,-4.289728927612304688e+01,-4.620809555053710938e+01,1.757936477661132812e+01
1.200000000000000112e-03,-5.372223663330078125e+01,-3.698680496215820312e+01,-4.283175277709960938e+01,-4.643325424194335938e+01,1.757435989379882812e+01
1.500000000000000031e-03,-5.384205245971679688e+01,-3.706599807739257812e+01,-4.281457519531250000e+01,-4.680727767944335938e+01,1.739702224731445312e+01
1.500000000000000031e-03,-5.358757400512695312e+01,-3.698299407958984375e+01,-4.276836395263671875e+01,-4.365230178833007812e+01,1.716812515258789062e+01
1.500000000000000031e-03,-5.320364761352539062e+01,-3.712233352661132812e+01,-4.142513656616210938e+01,-4.445410156250000000e+01,1.696864891052246094e+01
1.500000000000000031e-03,-5.250501632690429688e+01,-3.707368469238281250e+01,-4.187928009033203125e+01,-4.461046981811523438e+01,1.694585227966308594e+01
1.500000000000000031e-03,-5.320986557006835938e+01,-3.760146331787109375e+01,-4.238515472412109375e+01,-4.563447189331054688e+01,1.692876052856445312e+01
1.500000000000000031e-03,-5.355601882934570312e+01,-3.773037719726562500e+01,-4.280520629882812500e+01,-4.570106887817382812e+01,1.683679962158203125e+01
