# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.500000000000000140e-04,-6.649003601074218750e+01,-4.767086791992187500e+01,-5.967490768432617188e+01,-5.750552368164062500e+01,1.586424541473388672e+01
4.499999999999999877e-04,-6.548816680908203125e+01,-4.860786819458007812e+01,-5.805428695678710938e+01,-5.786809921264648438e+01,1.635376167297363281e+01
7.500000000000000156e-04,-6.623426055908203125e+01,-4.874795150756835938e+01,-5.858819198608398438e+01,-5.860134506225585938e+01,1.676382064819335938e+01
1.200000000000000112e-03,-6.730886077880859375e+01,-4.955804443359375000e+01,-5.890546798706054688e+01,-5.912857437133789062e+01,1.657829666137695312e+01
1.500000000000000031e-03,-6.769676208496093750e+01,-4.985311889648437500e+01,-5.730200195312500000e+01,-5.611906814575195312e+01,1.645984077453613281e+01
1.500000000000000031e-03,-6.755525207519531250e+01,-4.895104598999023438e+01,-5.720183944702148438e+01,-5.762868881225585938e+01,1.647765350341796875e+01
1.500000000000000031e-03,-6.822452545166015625e+01,-4.999605941772460938e+01,-5.827255630493164062e+01,-5.696911239624023438e+01,1.638916206359863281e+01
1.500000000000000031e-03,-6.832523345947265625e+01,-4.981492614746093750e+01,-5.832778167724609375e+01,-5.783090209960937500e+01,1.630239868164062500e+01
